id,split,mean_B4,mean_B3,mean_B2,centroid_dist_to_river_m,centroid_dist_to_river_m,encroachment
146,train,0.0,0.0,0.0,203.41254410386549,203.41254410386549,0
147,test,1376.0,1108.0,902.0,226.55031819604474,226.55031819604474,0
148,train,1490.0,1246.5,1065.0,220.7646461756347,220.7646461756347,0
149,train,1673.5,1456.0,1205.0,237.96525493230678,237.96525493230678,0
150,train,1648.0,1431.0,1251.0,257.04310184461184,257.04310184461184,0
151,train,1242.0,1013.0,882.0,229.92376239618744,229.92376239618744,0
152,train,1324.0,1078.0,885.0,253.4195084933534,253.4195084933534,0
153,train,1107.3333740234375,907.3333129882812,774.0,252.7105555578245,252.7105555578245,0
154,train,1069.0,891.5,802.0,255.97732597793382,255.97732597793382,0
155,test,1282.3333740234375,1065.3333740234375,877.3333129882812,278.4283378531705,278.4283378531705,0
156,test,1218.0,1049.0,934.5,270.7404684830025,270.7404684830025,0
157,train,1260.6666259765625,986.3333129882812,831.3333129882812,266.83167754738497,266.83167754738497,0
158,train,1483.0,1128.0,931.0,295.68669690374645,295.68669690374645,0
159,train,0.0,0.0,0.0,276.1328225293796,276.1328225293796,0
160,train,1256.0,971.0,814.0,282.09697352751465,282.09697352751465,0
161,train,1646.0,1396.0,1144.0,307.594959833677,307.594959833677,0
162,test,1488.0,1288.0,1092.0,310.97401757224884,310.97401757224884,0
163,train,1440.5,1100.5,904.25,287.04554855730044,287.04554855730044,0
164,train,1292.0,1002.0,916.0,302.1885061581532,302.1885061581532,0
165,train,1548.0,1290.0,1069.0,296.15527966852795,296.15527966852795,0
166,test,1660.0,1438.0,1217.0,314.9855452950936,314.9855452950936,0
167,train,0.0,0.0,0.0,302.25803367132,302.25803367132,0
168,test,1298.800048828125,1062.800048828125,939.4000244140625,327.9425879707039,327.9425879707039,0
169,train,1111.5,844.7000122070312,706.0,318.64025242412947,318.64025242412947,0
170,train,1179.5999755859375,1089.0,951.7999877929688,347.923049636253,347.923049636253,0
171,test,1138.0,780.0,684.0,335.24660105246966,335.24660105246966,0
172,train,1118.0,991.0,1057.5,361.6206803926248,361.6206803926248,0
173,test,1172.6666259765625,1030.0,944.6666870117188,345.9962127550723,345.9962127550723,0
174,train,1268.0,1108.0,1108.0,374.4928367317388,374.4928367317388,0
175,test,0.0,0.0,0.0,370.5814844311413,370.5814844311413,0
176,train,1161.0,929.6666870117188,821.0,367.94263697878677,367.94263697878677,0
177,train,1116.3333740234375,847.3333129882812,785.1666870117188,383.25407169794914,383.25407169794914,0
178,test,926.0,896.0,1134.0,390.36681413660796,390.36681413660796,0
179,train,832.0,819.0,1052.0,396.6621152615909,396.6621152615909,0
180,train,1105.1666259765625,908.1666870117188,766.5,383.8483571366971,383.8483571366971,0
181,train,1119.0,1152.0,1319.0,405.38053773708555,405.38053773708555,0
182,train,1283.3333740234375,960.0,918.6666870117188,417.45138587033966,417.45138587033966,0
183,test,1328.0,1088.0,838.0,432.91136093586425,432.91136093586425,0
