lon,lat,confidence,area_m2,B2,B3,B4,B8,B11,B12,NDVI,NDBI,rf_builtup_prob
36.73253162932265,-1.3278935391098619,0.75,89.11419677734375,635.0,840.0,846.5,2621.0,2025.5,1423.0,0.5117520093917847,-0.1281609833240509,0.79
36.72909366241045,-1.3300695804239437,0.75,10.434100151062012,1196.0,1267.0,1181.0,2172.0,2115.0,1394.5,0.2955562174320221,-0.01329601090401411,0.7
36.74860222951927,-1.2993196195593806,0.75,5.8703999519348145,594.5,768.0,692.0,2628.0,2149.0,1524.0,0.5831325054168701,-0.10027213394641876,0.47
36.71954226795396,-1.3167101136678196,0.75,16.07699966430664,1065.0,1402.0,1642.0,2433.0,2666.0,2287.0,0.1941104233264923,0.0456952340900898,0.91
36.747665818298046,-1.3357460160649803,0.75,10.470000267028809,586.0,856.0,793.5,2543.0,2114.0,1551.0,0.5243518948554993,-0.09211938828229904,0.66
36.75253515664841,-1.2957880115250515,0.75,18.328399658203125,806.0,967.5,1203.0,1776.0,2477.5,2200.0,0.19234642386436462,0.16492299735546112,0.87
36.741400781317964,-1.2914091742905678,0.75,44.985599517822266,459.5,682.0,763.0,2113.0,2078.5,1579.5,0.4694019556045532,-0.008230943232774734,0.41
36.74674278437998,-1.2901873806019233,0.75,107.78189849853516,742.5,950.5,1256.0,1497.0,2220.0,2098.5,0.08754086494445801,0.19451169669628143,0.9
36.73726273554036,-1.2949407823248968,0.75,138.33580017089844,666.0,849.5,1103.0,1624.0,1945.0,1854.0,0.19105243682861328,0.08994115889072418,0.92
36.727528517940684,-1.3301765988492262,0.75,15.145299911499023,623.0,784.0,868.5,1942.0,1867.0,1434.0,0.38196051120758057,-0.01969020813703537,0.66
36.759125708005406,-1.297562733744323,0.75,21.842500686645508,550.5,675.0,777.0,1593.0,2077.0,1757.5,0.34430378675460815,0.13188010454177856,0.56
36.72169601376278,-1.2954000697334016,0.75,53.06700134277344,769.5,948.0,904.0,2498.0,2488.5,1886.5,0.46854791045188904,-0.0019051438430324197,0.51
36.75548262244474,-1.2997789069678858,0.75,31.130199432373047,1199.0,1394.0,1671.0,1865.0,2502.5,2522.5,0.05486425384879112,0.14596450328826904,1.0
36.744004896333166,-1.2846714725988109,0.75,53.463600158691406,419.0,614.0,598.5,2313.0,2141.0,1575.0,0.5888717174530029,-0.03861697390675545,0.15
36.74408516015214,-1.2888541093869434,0.8125,44.616600036621094,948.0,942.0,1155.0,1497.0,2499.5,2491.5,0.1289592832326889,0.25084447860717773,0.92
36.725022503148644,-1.3018479298566845,0.8125,27.25349998474121,1204.0,1678.0,1964.0,3322.0,2909.5,2011.5,0.2569050192832947,-0.06619594246149063,0.84
36.74804930098865,-1.2862901262812119,0.8125,79.10980224609375,815.0,1063.0,1407.0,1544.5,2279.5,2253.0,0.04658647999167442,0.19220711290836334,0.99
36.73826157417633,-1.3015402518839967,0.8125,67.71089935302734,813.0,1109.0,1322.0,1961.0,2345.5,2271.5,0.19463905692100525,0.08928363770246506,1.0
36.734975216699944,-1.2914493062000487,0.8125,106.57080078125,519.0,748.0,991.0,1791.0,2109.0,1795.0,0.28756290674209595,0.08153846114873886,0.8
36.745659222823996,-1.3019460300798602,0.8125,28.870800018310547,821.5,1085.0,1413.0,1722.0,2307.5,2291.0,0.09856459498405457,0.1453033834695816,0.97
