lon,lat,confidence,area_m2,B2,B3,B4,B8,B11,B12,NDVI,NDBI,rf_builtup_prob,distance_to_river_m
36.95010008792239,-1.246479272076047,0.7146000266075134,15.149299621582031,880.0,1083.0,1225.0,2175.0,2015.0,1624.0,0.2794117629528045,-0.0381861589848995,0.85,11.395148759533491
36.94808457424622,-1.2465907496023831,0.7314000129699707,20.66279983520508,1021.0,1269.0,1506.0,1848.0,2401.5,2142.0,0.1019677966833114,0.1302506178617477,0.94,13.650020754056676
36.95149578655211,-1.2454135469242733,0.7594000101089478,33.94150161743164,843.5,1025.0,1072.0,2620.5,2139.0,1637.5,0.4193635880947113,-0.1011660918593406,0.58,14.2173174725795
36.94719721313659,-1.247830379695241,0.7817999720573425,53.63029861450195,1146.0,1343.0,1524.0,2196.5,2519.5,2293.5,0.1807552725076675,0.0684902444481849,0.95,14.469956392348156
36.94913246299379,-1.2475672927330876,0.7874000072479248,14.65470027923584,835.0,989.0,1113.0,1660.0,2123.5,1748.0,0.1972592920064926,0.1225056201219558,0.74,8.799485649118298
36.94783932368829,-1.2466085860065972,0.8098000288009644,19.470399856567383,758.0,898.5,1018.0,1393.0,1979.5,1608.5,0.1555371284484863,0.1739065945148468,0.96,11.048386450627309
36.950006446800266,-1.2475985064404618,0.7501999735832214,50.55929946899414,900.0,1101.0,1256.0,2329.0,2387.5,2066.0,0.2993026375770569,0.0124032655730843,0.82,15.402342765423658
36.94857953446315,-1.246786950048735,0.7203999757766724,32.51729965209961,1131.0,1391.0,1533.0,2384.0,2385.5,2225.0,0.2172581106424331,0.0003144983784295,0.82,14.705749506893053
36.947375577178725,-1.247415683297271,0.7828999757766724,13.5556001663208,1208.0,1424.0,1579.0,2692.0,2955.0,2746.0,0.2605946958065033,0.0465734004974365,0.89,10.22274227453661
36.947241804147126,-1.2476430974509964,0.7250999808311462,31.16419982910156,918.0,1113.0,1210.0,1685.0,2405.0,2117.0,0.1640760004520416,0.1760391145944595,0.88,8.291764130530968
36.9490834128822,-1.2472952875688277,0.7857999801635742,12.94950008392334,1535.0,1787.0,1964.0,2280.0,2240.5,2006.0,0.0744580551981926,-0.0087379710748791,0.88,15.432570823383916
36.94765650054509,-1.2466531770171314,0.8166999816894531,16.944299697875977,1042.0,1228.0,1443.0,2142.5,2290.0,1984.0,0.1950913369655609,0.0332769304513931,0.91,13.769226485272398
36.94815591986308,-1.2468449183624293,0.8223000168800354,53.005401611328125,870.0,1043.0,1242.0,2003.0,2065.5,1802.0,0.2345146387815475,0.0153619274497032,0.71,14.329797634535208
36.95047465241088,-1.2473755513877895,0.7692000269889832,109.01020050048828,1405.0,1659.0,1758.0,2297.0,2495.0,2207.0,0.1329223215579986,0.0413188636302948,0.83,9.272902725876131
36.94816929716624,-1.2466041269055437,0.7002000212669373,36.71950149536133,740.0,919.5,1062.0,1398.5,2065.5,1802.0,0.1367608159780502,0.1925519704818725,0.95,11.647807243580523
36.94807565604412,-1.246568454097116,0.785099983215332,16.109399795532227,1021.0,1269.0,1506.0,1848.0,2401.5,2142.0,0.1019677966833114,0.1302506178617477,0.94,15.966726229491892
36.94762974593878,-1.2469831504950866,0.7087000012397766,52.71149826049805,1194.0,1402.0,1546.0,2220.5,1907.5,1575.0,0.1790787130594253,-0.0758236423134803,0.49,14.671227183480056
36.94762082773667,-1.2466665543202915,0.7926999926567078,17.831600189208984,1042.0,1228.0,1443.0,2142.5,2290.0,1984.0,0.1950913369655609,0.0332769304513931,0.91,14.688663698747117
36.950077792417126,-1.2461225439917716,0.7581999897956848,19.755300521850582,964.0,1280.0,1288.0,2618.0,2208.5,1730.0,0.3405017852783203,-0.0848440900444984,0.85,14.933314981414245
36.95105879464888,-1.2459887709601682,0.7404999732971191,18.982500076293945,950.5,1193.0,1230.0,2476.5,2048.0,1594.5,0.3363010883331299,-0.0947065949440002,0.79,10.727598458164028
36.950942858021484,-1.243197373700711,0.7516999840736389,14.6628999710083,669.0,767.5,2240.0,2667.5,3761.0,3690.0,0.0871115624904632,0.1701018959283828,0.5,8.850992454646233
