B11,B12,B2,B3,B4,B8,NDBI,NDVI,builtup,lon,lat
1661.0,967.0,294.0,465.0,334.0,2507.0,-0.2029750496149063,0.7648715376853943,0,36.886667112279994,-1.2263351101157647
3187.0,2811.0,736.0,1056.0,1472.0,2474.0,0.12594947218894958,0.2539280354976654,0,36.90660971158745,-1.2289402244397114
1720.5,1283.5,459.0,635.5,689.5,2207.0,-0.12387014925479889,0.5239081382751465,0,36.88253486197305,-1.2210350499394595
1857.0,1323.0,367.0,569.0,532.0,2428.0,-0.13325554132461548,0.6405405402183533,0,36.88513997629699,-1.227862246098768
2537.0,1364.0,460.0,734.0,513.0,1140.0,0.3799293041229248,0.37931033968925476,0,36.905801227831745,-1.2450200680254508
3076.0,2199.0,711.0,1094.0,1404.0,2910.0,0.02773137390613556,0.3490959703922272,0,36.897446895689434,-1.227682583041944
2566.5,1639.0,465.0,702.0,700.5,2444.0,0.024448657408356667,0.5544601678848267,0,36.880019579177514,-1.212590886268736
2704.5,2021.0,529.5,773.0,909.0,2312.0,0.07824180275201797,0.43557900190353394,0,36.898165547916726,-1.2247181426043496
1565.0,916.0,265.0,410.0,322.0,2444.5,-0.2193540334701538,0.7672148942947388,0,36.87157541550679,-1.2288503929112995
1969.0,1390.0,382.0,589.0,590.0,2693.0,-0.1552981585264206,0.6405726671218872,0,36.87714497026833,-1.2255266263600573
1969.0,1424.5,515.0,711.5,833.5,2616.0,-0.1411123275756836,0.5167415738105774,0,36.87040760563743,-1.2319944964057177
1608.0,1062.0,334.0,562.0,444.0,2597.0,-0.23519618809223175,0.7079907655715942,0,36.892416330098364,-1.2082789729049623
2654.0,2430.0,886.0,1038.0,1269.0,1760.0,0.2025373876094818,0.1620997041463852,0,36.88756542756412,-1.2398996709059695
1881.0,1231.0,384.0,705.0,478.0,3771.0,-0.3343949019908905,0.7750058770179749,0,36.87651614956945,-1.2133095384960317
2431.0,2114.0,1164.0,1380.0,1592.0,2144.0,0.06273224204778671,0.1477515995502472,0,36.90804701604204,-1.220406229240576
1917.0,1036.0,358.0,583.0,428.0,3464.0,-0.2874930202960968,0.780061662197113,0,36.87849244319451,-1.2345996107296644
2244.0,1554.0,456.0,720.0,802.0,2212.0,0.007181328721344471,0.46781685948371887,0,36.908136847570454,-1.2170824626893337
2542.0,1735.5,595.5,865.5,974.0,2370.0,0.03501628711819649,0.41746410727500916,0,36.88900273201871,-1.2130400439107958
2123.5,1748.0,466.0,739.0,665.0,3152.0,-0.19495782256126404,0.6515588164329529,0,36.884780650183345,-1.2188790932575728
2909.0,2353.0,486.5,758.5,1129.0,2132.5,0.15402162075042725,0.30768051743507385,0,36.90795718451363,-1.2328029801614253
2276.0,1773.0,804.0,1046.0,1232.0,2018.0,0.06008383631706238,0.24184615910053253,0,36.889811215774415,-1.2234605012065822
2157.0,1541.5,422.0,664.5,686.5,2759.0,-0.12245728075504303,0.6015092134475708,0,36.91846747333783,-1.2167231365756859
2601.0,1541.0,428.0,762.0,660.0,3676.0,-0.17126016318798065,0.6955719590187073,0,36.91397589691723,-1.231365675706834
1627.0,1219.0,384.0,585.0,705.0,1274.0,0.12168218195438385,0.2875189483165741,0,36.87633648651262,-1.2379233772809066
3470.0,2986.0,760.0,1090.0,1484.0,2187.0,0.2267986536026001,0.1915009468793869,0,36.896728243462135,-1.229748708195419
1827.0,1172.0,439.0,661.0,628.0,2604.0,-0.1753554493188858,0.6113861203193665,0,36.875528002756916,-1.216543473518862
2251.0,1558.0,397.0,608.0,772.0,2314.0,-0.013800657354295254,0.4996759593486786,0,36.89017054188806,-1.214657011422211
2850.5,2073.0,631.0,917.0,1090.0,2338.0,0.09877613931894302,0.3640606701374054,0,36.90669954311586,-1.227862246098768
2900.0,2351.5,495.5,779.0,1396.0,2143.0,0.15010906755924225,0.21107657253742218,0,36.90804701604204,-1.2321741594625417
2489.5,1744.5,662.0,974.0,990.0,2766.5,-0.0527016744017601,0.47291362285614014,0,36.90975381508187,-1.2074704891492547
2131.5,1508.0,502.5,778.5,763.0,1996.0,0.03282858803868294,0.4469010531902313,0,36.915592864428646,-1.2243588164907018
2200.0,1608.0,416.0,610.0,519.0,2605.0,-0.08428720384836197,0.6677336692810059,0,36.91137078259328,-1.2209452184110476
2153.0,1409.0,493.0,773.0,806.0,2674.0,-0.10793453454971313,0.5367816090583801,0,36.872383899262495,-1.218519767143925
2152.0,1589.0,471.0,683.0,756.0,2349.0,-0.04376805201172829,0.5130434632301331,0,36.88037890529116,-1.2235503327349941
1862.5,1379.5,576.5,718.0,789.0,1482.5,0.11360239237546921,0.3053048551082611,0,36.88010941070593,-1.226065615530529
2614.5,2065.0,446.0,712.0,901.0,2151.0,0.09726157039403915,0.4095675051212311,0,36.916760674298004,-1.2302876973658907
2228.0,1746.0,765.0,905.5,799.0,1992.5,0.05579907447099686,0.4275479018688202,0,36.914604717616115,-1.2199570715985162
2469.0,1787.5,487.0,718.0,901.0,2203.0,0.05693493038415909,0.4194587767124176,0,36.90256729280891,-1.2345097792012525
2542.0,1896.5,599.5,907.0,738.5,3369.0,-0.13990864157676697,0.6404138803482056,0,36.90139948293956,-1.2059433531662516
2961.0,2637.0,723.0,1060.0,1318.0,2112.0,0.16735659539699554,0.23148688673973083,0,36.91110128800805,-1.2170824626893337
2384.0,1621.0,427.0,692.0,769.0,2496.0,-0.02295081876218319,0.5289433598518372,0,36.91703016888324,-1.2155553267063306
2576.0,1969.0,499.0,789.0,794.0,2529.0,0.009206660091876984,0.5221185684204102,0,36.908675836740926,-1.2529252425257027
3166.0,2752.0,518.0,808.0,1250.0,1782.0,0.27970898151397705,0.17546173930168152,0,36.91065213036599,-1.2338809585023687
2515.5,2134.0,614.0,870.5,936.0,2588.5,-0.014302507974207401,0.46886083483695984,0,36.923677701985724,-1.2271435938714723
2854.0,2071.0,582.0,908.0,1162.0,2563.0,0.05371977016329765,0.376107394695282,0,36.91334707621834,-1.227682583041944
2375.0,1625.0,499.0,778.0,778.0,2350.0,0.005291005130857229,0.5025575160980225,0,36.89250616162678,-1.2046857117684844
2777.0,2089.0,859.5,1220.0,1402.0,3136.5,-0.06079310178756714,0.3821747303009033,0,36.89304515079725,-1.2215740391099312
1883.0,1208.0,418.0,672.0,659.0,2968.0,-0.22366522252559662,0.6366142630577087,0,36.91622168512753,-1.2150163375358587
2740.0,2027.0,516.0,802.0,962.0,2610.0,0.02429906465113163,0.4613661766052246,0,36.9145148860877,-1.2292995505533593
2116.0,1243.0,394.0,652.0,510.0,4024.0,-0.3107491731643677,0.7750330567359924,0,36.87274322537615,-1.237114893525199
2071.0,1386.5,574.5,794.0,828.0,2137.5,-0.015801355242729187,0.4415781497955322,0,36.89735706416102,-1.248343834576693
2399.0,1766.0,627.5,959.5,1055.0,2578.0,-0.0359654426574707,0.4192127585411072,0,36.89996217848497,-1.210794255700497
2032.5,1395.5,537.0,853.5,716.0,2738.5,-0.14797736704349518,0.5854682326316833,0,36.895740096649604,-1.246457372480042
2352.0,1371.0,450.0,730.0,622.0,3281.0,-0.16492100059986115,0.6812708377838135,0,36.899063863200844,-1.216273978933626
1923.5,1058.5,345.5,554.0,417.0,2515.5,-0.13336336612701416,0.7156010270118713,0,36.877683959438805,-1.2216638706383431
2237.5,1783.0,492.0,763.5,867.0,2316.5,-0.017347386106848717,0.4553164839744568,0,36.91361657080358,-1.2381928718661424
1809.0,958.5,341.0,602.0,392.5,3124.5,-0.2666463851928711,0.77679842710495,0,36.89008071035965,-1.2270537623430604
2894.0,1905.0,748.0,1028.0,1149.0,2573.0,0.058715932071208954,0.38258999586105347,0,36.913167413161524,-1.2248079741327615
2989.5,2831.0,1081.0,1183.0,1215.0,2713.5,0.04839558154344559,0.3814432919025421,0,36.89852487403037,-1.2171722942177456
2680.0,1907.0,491.0,796.0,890.0,2398.5,0.05542975291609764,0.45871978998184204,0,36.90687920617269,-1.2267842677578245
2205.0,1445.0,433.5,693.0,675.0,2942.5,-0.14327342808246613,0.6268141269683838,0,36.89978251542814,-1.2116027394562046
2226.0,1432.0,435.0,700.0,750.0,2613.0,-0.0799752026796341,0.55396968126297,0,36.88037890529116,-1.2249876371895854
2473.5,1606.5,576.0,909.0,854.0,3122.5,-0.11597570031881332,0.5704765319824219,0,36.90229779822368,-1.2263351101157647
2696.0,1819.5,684.0,1021.0,1050.0,2687.5,0.00157889851834625,0.4381271004676819,0,36.9129877501047,-1.2245384795475258
2392.0,1293.0,456.0,778.0,582.0,3420.0,-0.17687542736530304,0.7091454267501831,0,36.88208570433099,-1.2225621859224627
2843.5,2307.0,605.0,874.0,1211.0,2140.5,0.14105136692523956,0.27733850479125977,0,36.903196113507796,-1.2308266865363624
2326.5,1851.5,965.0,1101.0,1326.0,1774.5,0.13460130989551544,0.14465409517288208,0,36.89430279219501,-1.2506794543154038
2656.5,2036.0,546.0,845.5,1096.0,2434.5,0.043606363236904144,0.3791247606277466,0,36.90759785839998,-1.2359470836558437
2387.0,2015.0,1000.5,1149.0,1449.0,1995.0,0.08945687115192413,0.15853658318519592,0,36.89448245525184,-1.2510387804290517
2168.5,1685.0,494.0,749.0,843.0,2450.0,-0.06095052510499954,0.4880048632621765,0,36.88487048171176,-1.2477150138778093
3223.0,2490.0,693.0,1036.0,1238.0,2810.0,0.06845682114362717,0.38833990693092346,0,36.911460614121694,-1.2330724747466613
2424.5,1657.0,480.0,753.0,927.0,2646.0,-0.04368405416607857,0.48110830783843994,0,36.908406342155686,-1.2360369151842556
3022.5,2945.0,1577.0,1787.0,2056.0,2263.5,0.14358682930469513,0.04803796857595444,0,36.90139948293956,-1.2048653748253082
2981.5,2043.5,632.0,952.5,1031.0,2789.0,0.03335932642221451,0.4602094292640686,0,36.89466211830866,-1.225885952473705
1980.0,1246.5,438.0,647.5,598.0,2608.5,-0.13697285950183868,0.6270076632499695,0,36.88010941070593,-1.214746842950623
2489.0,2058.0,1380.0,1594.0,1922.0,2393.5,0.019559651613235474,0.10925732553005219,0,36.92071326154813,-1.22013673465534
3685.0,3245.0,670.0,1040.0,1582.0,2360.0,0.21918940544128418,0.1973617523908615,0,36.91406572844564,-1.2337911269739568
2399.0,1317.0,376.0,658.0,451.0,3655.0,-0.20746614038944244,0.780321478843689,0,36.89115868870059,-1.2100756034732014
2104.0,1500.0,452.0,691.0,712.0,2384.0,-0.0623885914683342,0.5400516986846924,0,36.91783865263894,-1.223909658848642
2368.0,1844.0,710.5,982.0,1130.0,2346.5,0.004560398869216442,0.3499208986759186,0,36.898165547916726,-1.2460082148379823
2825.5,2261.5,539.0,807.5,1103.0,2004.0,0.17010042071342468,0.2899903357028961,0,36.90777752145681,-1.2305571919511265
2451.0,1639.0,458.0,744.0,753.0,2520.0,-0.013880507089197636,0.5398716926574707,0,36.898884200144025,-1.233431800860309
2577.5,2116.5,420.5,638.0,465.5,3730.0,-0.18271899223327637,0.7780956029891968,0,36.892685824683596,-1.2120518970982643
2164.0,1332.5,350.5,546.5,426.0,2856.5,-0.13793446123600006,0.7404417395591736,0,36.90121981988273,-1.2217537021667553
