lon,lat,confidence,area_m2,B2,B3,B4,B8,B11,B12,NDVI,NDBI,rf_builtup_prob
36.93681196678312,-1.2332580374525797,0.75,120.71510314941406,1399.0,1627.0,1803.0,2014.5,2392.5,2185.0,0.05540275201201439,0.08577263355255127,0.92
36.94555626394892,-1.2458951298380458,0.75,82.95240020751953,1021.0,1250.0,1442.0,2180.5,2551.0,2158.5,0.20386473834514618,0.07830497622489929,0.95
36.935715027923976,-1.2199431617069907,0.75,20.396099090576172,1172.0,1125.0,1212.0,2050.0,3046.0,2862.0,0.25689759850502014,0.1954474151134491,0.7
36.93668711195362,-1.2287142134791185,0.75,128.89109802246094,865.0,985.0,1142.0,1424.0,2381.0,2083.0,0.10989867150783539,0.2515111565589905,0.71
36.94865088008002,-1.2474513561056984,0.8125,85.11329650878906,1535.0,1763.0,2021.0,2149.5,2773.5,2678.0,0.030811652541160583,0.12675197422504425,0.91
36.95382789640306,-1.2467245226339865,0.8125,97.01390075683594,1904.0,2041.0,2160.0,2054.5,3091.0,3078.5,-0.02503262460231781,0.20143814384937286,0.73
36.93534492253653,-1.232638222406151,0.8125,161.44369506835938,898.5,1131.0,1399.0,2159.0,2394.5,2090.0,0.2136031538248062,0.05171845853328705,0.82
36.940370329423764,-1.2313941332122398,0.8125,87.74099731445312,1162.0,1367.0,1574.0,1818.5,2293.5,2205.0,0.07207074761390686,0.1155155673623085,0.96
36.93722220408003,-1.215925511657836,0.875,200.8946075439453,693.5,922.0,1440.0,2610.5,2719.0,2529.5,0.28897666931152344,0.020358381792902946,0.68
36.939291226968834,-1.231077537037445,0.7555999755859375,14.610899925231934,1171.0,1361.0,1602.0,1963.0,2564.0,2498.0,0.10126227140426636,0.1327590048313141,0.98
36.93458687535744,-1.235447456069822,0.7555999755859375,58.31589889526367,1207.0,1416.0,1693.0,1866.5,2701.0,2737.0,0.04874280095100403,0.1827038824558258,1.0
36.9395052638194,-1.2201884122649302,0.7555999755859375,38.423099517822266,933.5,1242.0,1511.0,1875.5,2824.5,2602.5,0.10763324797153473,0.20191489160060883,0.92
36.940401543131145,-1.2304309673846952,0.7555999755859375,18.309200286865234,931.0,1174.0,1384.0,2030.5,2571.0,2383.5,0.18933957815170288,0.11746169626712799,0.96
36.93965687325522,-1.2298200705403732,0.7555999755859375,21.730100631713867,1177.0,1362.0,1553.0,2041.0,2474.5,2375.5,0.13578185439109802,0.09600266069173813,0.88
36.935630305003954,-1.2197826340690665,0.7555999755859375,60.08610153198242,834.5,1081.0,1422.0,1824.0,2741.0,2545.5,0.12384473532438278,0.20087623596191406,0.92
36.95132634071208,-1.2480444165458064,0.8180999755859375,42.94879913330078,1429.0,1405.0,1536.0,2158.0,3240.0,3196.0,0.16838115453720093,0.20044460892677307,0.8
36.93320455403088,-1.2205406812481523,0.8180999755859375,25.864900588989258,800.0,1002.0,964.5,2524.5,2747.5,2026.5,0.44711950421333313,0.04229893907904625,0.64
36.93673170296415,-1.2187614999278271,0.8180999755859375,87.6990966796875,1053.0,1323.0,1554.0,2059.0,2713.0,2477.0,0.13977304100990295,0.13704945147037506,0.85
36.93846183417289,-1.220794850008199,0.8180999755859375,74.79499816894531,874.0,1164.0,1474.0,2227.0,2784.0,2298.0,0.2034585177898407,0.11115545779466629,0.51
36.94937325445068,-1.2479819891310584,0.8180999755859375,68.03610229492188,1401.0,1608.0,1724.0,1896.0,2840.5,2804.0,0.04751381278038025,0.19940884411334991,0.96
36.935982573987175,-1.2284020764053774,0.8180999755859375,30.10890007019043,917.0,1050.0,1167.0,1795.5,2294.0,2060.0,0.212151899933815,0.12189754098653793,0.83
36.939474050112025,-1.2331733145325645,0.8805999755859375,65.57039642333984,1539.0,1731.0,1853.0,1849.0,2393.5,2239.0,-0.001080497051589191,0.12834413349628448,0.97
36.932825530441335,-1.226796800026137,0.7444000244140625,107.15619659423828,862.0,1155.0,1462.0,1962.5,2758.0,2495.0,0.14615271985530853,0.16852028667926788,0.88
36.94533776799731,-1.2464213037623522,0.7444000244140625,15.518799781799316,641.5,865.0,951.5,2359.0,2394.0,2130.5,0.4251623749732971,0.00736377015709877,0.9
36.93523790411125,-1.2193857740753098,0.7444000244140625,13.837599754333496,842.5,1113.0,1564.0,1972.5,2505.0,2208.5,0.11550968140363693,0.1189279705286026,0.9
36.93618769263564,-1.2368877457100849,0.7444000244140625,25.3971004486084,557.0,853.5,839.0,3157.5,2616.5,1854.0,0.5801326036453247,-0.09369587898254395,0.18
36.932843366845546,-1.22401878006984,0.7444000244140625,21.752899169921875,960.5,1231.0,1396.0,2423.5,2744.5,2249.0,0.26901426911354065,0.06211300194263458,0.83
36.93694573981472,-1.2299493844709233,0.8069000244140625,142.36549377441406,1390.0,1511.0,1524.0,2097.0,2483.0,2085.0,0.1582435816526413,0.08427947759628296,0.92
36.948080115145174,-1.247857134301562,0.8069000244140625,68.47319793701172,1432.0,1605.0,1667.0,1946.5,2542.5,2367.0,0.07734882831573486,0.13276898860931396,0.92
36.9516696914932,-1.2492127010218095,0.8069000244140625,168.6728057861328,2043.0,2254.0,2269.0,2205.5,2863.5,2778.0,-0.014191529713571072,0.12980863451957703,0.89
36.93471173018694,-1.2353894877561271,0.8069000244140625,65.04340362548828,1158.0,1309.0,1601.0,1924.0,2570.5,2589.5,0.0916312038898468,0.14384247362613678,1.0
36.93552774567972,-1.2202285441744112,0.8069000244140625,65.71369934082031,666.0,995.5,1164.0,2460.5,2571.0,2159.0,0.3577045202255249,0.021961642429232597,0.82
36.93539843174917,-1.2321209666839512,0.8069000244140625,100.28559875488281,815.0,1060.0,1565.0,1929.0,2747.0,2781.5,0.10417859256267548,0.17493584752082825,0.84
36.95392599662624,-1.2479195617163101,0.8694000244140625,134.08740234375,2653.0,2732.0,2965.0,2788.5,3394.0,3405.5,-0.030676979571580887,0.09793772548437119,0.77
