B11,B12,B2,B3,B4,B8,NDBI,NDVI,builtup,lon,lat
2554.5,1685.0,454.0,738.0,672.0,2635.0,-0.015512092038989067,0.5935893654823303,0,36.973264705669116,-1.2457387202527463
2522.5,1790.0,479.5,704.0,875.0,2323.0,0.041172221302986145,0.4527829885482788,0,36.96589852033934,-1.2170824626893337
2165.5,1263.5,424.5,757.5,693.0,3136.0,-0.1830613911151886,0.6380255818367004,0,36.94047619779876,-1.2236401642634063
3182.0,2479.0,654.0,930.0,1120.0,2432.0,0.1335945874452591,0.36936935782432556,0,36.96832397160646,-1.2356775890706078
2944.0,2165.0,900.0,1190.0,1302.0,2713.0,0.04083436354994774,0.35143211483955383,0,36.98296651073761,-1.2328928116898372
1971.0,1213.0,430.0,698.5,639.0,2249.5,-0.06598744541406631,0.5575558543205261,0,36.940566029327165,-1.2345996107296644
2527.5,1740.0,560.0,818.0,908.5,2497.5,0.005970149300992489,0.4665296673774719,0,36.97667830374877,-1.2101654350016133
3189.0,2457.5,596.0,851.5,1002.0,2360.0,0.14939628541469574,0.40392622351646423,0,36.969940939117876,-1.2341504530876046
2653.0,2009.0,786.0,1122.0,1230.0,2755.0,-0.018860947340726852,0.3826850652694702,0,36.93814057806004,-1.2290300559681233
2309.0,1332.0,466.0,754.0,661.0,3284.0,-0.17432504892349243,0.6648922562599182,0,36.943171143651114,-1.2265147731725887
2982.0,2215.0,714.0,966.5,1227.0,2111.5,0.17090409994125366,0.2649393379688263,0,36.960598460163034,-1.231725001820482
2855.0,1921.0,584.0,797.0,904.0,2098.0,0.1528366655111313,0.3977348506450653,0,36.98009190182843,-1.222292691337227
3206.0,2328.0,730.0,1028.0,1198.0,2598.0,0.10475534200668335,0.3688092827796936,0,36.96949178147582,-1.235497926013784
2110.0,1248.5,356.0,650.5,436.0,3469.0,-0.2435920387506485,0.7766965627670288,0,36.97470201012371,-1.227772414570356
3572.5,2958.0,844.5,1127.0,1525.0,2245.5,0.2280852496623993,0.1910887211561203,0,36.953681432475314,-1.2323538225193655
2491.5,1536.0,449.0,655.0,629.5,2605.5,-0.022366097196936607,0.6108191609382629,0,36.94847120382742,-1.2438522581560953
3168.0,2277.5,624.0,922.0,1042.0,2576.5,0.10296805948019028,0.4240707457065582,0,36.940835523912405,-1.225885952473705
2405.0,1640.0,531.0,759.0,854.0,2306.5,0.020906293764710426,0.4595791697502136,0,36.959700144878916,-1.2224723543940508
2491.0,1719.0,595.0,820.0,1000.0,2558.0,-0.013269954361021519,0.43788644671440125,0,36.97074942287358,-1.2327131486330134
3430.0,2630.5,759.5,1019.5,1302.0,2363.5,0.18408560752868652,0.2895921468734741,0,36.97245622191341,-1.237025061996787
2958.0,2317.5,626.5,844.0,999.0,1994.5,0.19454820454120636,0.3325538635253906,0,36.97074942287358,-1.2368453989399633
3047.0,2175.5,690.0,1099.0,1101.0,2778.0,0.046180255711078644,0.43232792615890503,0,36.9791037550159,-1.2421454591162684
2999.5,2098.0,688.0,936.0,1095.0,2495.5,0.09171974658966064,0.3900570869445801,0,36.96167643850398,-1.225885952473705
2839.5,2060.0,614.0,800.0,1082.0,2218.5,0.12277580052614212,0.3443417549133301,0,36.94326097517953,-1.2188790932575728
3240.0,2565.0,783.0,1110.0,1300.0,2563.0,0.11666379123926163,0.326947957277298,0,36.976318977635124,-1.2429539428719758
2363.0,1608.0,521.0,808.0,753.0,2412.0,-0.0102617796510458,0.5241706371307373,0,36.95215429649231,-1.2381928718661424
2279.5,1645.5,480.0,733.5,695.5,2599.5,-0.06558720767498016,0.5778452157974243,0,36.94999833981042,-1.201541608274066
2099.0,1130.0,284.5,562.5,367.5,3448.0,-0.24319452047348022,0.8073647022247314,0,36.965808688810924,-1.2195079139564564
