lon,lat,confidence,area_m2,B2,B3,B4,B8,B11,B12,NDVI,NDBI,rf_builtup_prob,distance_to_river_m
36.73737867216776,-1.2886980408500723,0.7444000244140625,148.98300170898438,1183.0,1379.0,1403.0,1762.0,2028.0,1747.0,0.1134281232953071,0.0701847001910209,0.6,4.167854879366707
36.7232745355357,-1.2959529982640292,0.715499997138977,11.37339973449707,635.0,878.5,983.0,2552.0,2533.0,1709.5,0.4438472390174866,-0.0037364799063652,0.07,4.257467543493706
36.74488333924071,-1.293290914935122,0.715499997138977,13.813899993896484,444.0,570.5,566.0,1888.0,2011.5,1607.5,0.5387123227119446,0.0316707268357276,0.52,10.560665043004022
36.73135888574561,-1.2884438720900262,0.7835999727249146,16.247800827026367,761.0,1028.0,1264.0,1872.0,2157.5,1883.5,0.1938775479793548,0.0708524659276008,0.8,13.915344541602709
36.744245687790055,-1.2975047654306282,0.8460999727249146,60.30630111694336,850.5,998.5,1098.0,1746.0,2553.0,2167.5,0.2278480976819992,0.1877180784940719,0.91,5.599897790311885
36.745266821931295,-1.2966174043209924,0.7099000215530396,10.047300338745115,639.0,882.0,874.5,2462.0,2106.0,1851.0,0.4757979810237884,-0.0779334530234336,0.73,6.153684341606263
36.74833022435501,-1.2954357425418292,0.8116000294685364,39.31769943237305,729.0,978.5,1261.0,1974.0,2228.0,2013.5,0.2204018533229828,0.0604474060237407,0.73,12.895843615425264
36.748633443226645,-1.2953822333291882,0.7257999777793884,6.455999851226807,860.5,1070.0,1185.0,2077.5,2211.0,1947.0,0.2735632061958313,0.0311297662556171,0.86,6.746331644521176
36.74562355001557,-1.2963989083693737,0.7882999777793884,36.712398529052734,947.5,1152.0,1280.0,1580.0,2046.0,1956.0,0.104895107448101,0.1285162717103958,0.86,15.869512123293719
36.73870302518062,-1.299613920228908,0.7369999885559082,42.01150131225586,791.0,1054.0,1030.0,2325.0,2076.5,1548.5,0.3859910666942596,-0.0564580261707305,0.66,4.960402448247959
36.74400043723212,-1.29771434318014,0.8051000237464905,50.22840118408203,1026.5,1137.0,1335.0,2032.0,3138.0,2891.5,0.2070092111825943,0.2139264941215515,0.71,7.113295238469055
36.744004896333166,-1.2930635007813962,0.7649999856948853,81.97250366210938,716.5,954.5,1120.0,1789.0,1949.5,1510.5,0.229975938796997,0.0429316572844982,0.6,12.835670378798085
36.73121619451189,-1.288323476361583,0.7649999856948853,13.00629997253418,558.5,766.0,841.0,1935.0,1999.5,1430.0,0.3940922319889068,0.0163934417068958,0.63,13.352962045021984
36.744339328912176,-1.29731302408533,0.8442999720573425,141.914794921875,1134.0,1075.0,1163.0,2071.0,2669.0,2563.0,0.2807668447494507,0.1261603385210037,0.87,7.954413553347964
36.74990874612792,-1.292479358543395,0.9067999720573424,180.1533050537109,562.0,804.0,1147.0,1802.0,2286.0,1928.5,0.2221091836690902,0.1183953061699867,0.79,14.872381007231194
36.74528019923445,-1.293313210440389,0.7874000072479248,115.01200103759766,950.5,1096.0,1242.0,1876.0,2297.0,2229.0,0.2033354789018631,0.1008866503834724,0.9,9.915417483209541
36.7450171122723,-1.2962116261251289,0.8499000072479248,75.45850372314453,705.0,878.5,895.0,2518.5,2108.0,1591.5,0.475611537694931,-0.088727980852127,0.49,13.46899750451896
36.74241299725709,-1.2917436068695765,0.8611000180244446,89.99150085449219,638.0,826.5,1121.0,1933.0,2088.5,1651.0,0.265880823135376,0.0386671647429466,0.61,14.803757286713253
36.74544072687238,-1.296581731512565,0.7696999907493591,79.35970306396484,794.0,996.0,1173.0,1851.0,2055.5,1961.5,0.22420634329319,0.0523486509919166,0.74,8.779412848762417
36.75073813892388,-1.293861679869963,0.7641000151634216,18.416099548339844,724.0,926.0,1094.0,2041.0,2179.5,1790.0,0.3020733594894409,0.0328160189092159,0.81,12.881509796567693
36.74730017201166,-1.2935673792004354,0.8266000151634216,75.08329772949219,742.0,944.0,1175.0,1670.0,2090.0,1871.5,0.1739894598722458,0.1117021292448043,0.96,9.813082201049575
36.74862006592348,-1.2955918110786997,0.8378000259399414,42.07830047607422,993.0,1302.0,1295.0,2542.0,2342.5,1895.5,0.3249934911727905,-0.0408434830605983,0.92,14.928774999874495
36.73559949084741,-1.2881272759152314,0.7184000015258789,12.01669979095459,734.0,999.0,1255.0,2322.0,2656.0,2212.0,0.2982946634292602,0.0670952200889587,0.73,6.897587492707857
36.73722260363087,-1.2887961410732485,0.7351999878883362,23.956600189208984,563.5,786.0,925.0,1959.0,2050.5,1754.0,0.3585298061370849,0.0228208005428314,0.77,9.535120382619754
36.73844439731952,-1.2900000983576787,0.7921000123023987,90.4115982055664,753.5,1015.0,1230.0,2803.5,2115.5,1632.5,0.3901078402996063,-0.139865830540657,0.64,12.642142460710105
36.74486996193754,-1.2961581169124878,0.7006999850273132,7.941199779510498,645.0,848.5,927.0,2162.0,2274.0,2006.0,0.3998057544231415,0.0252479705959558,0.91,12.500217501254026
36.73876991169642,-1.299511360904679,0.7631999850273132,16.05940055847168,564.5,789.0,712.0,2873.0,2332.0,1794.0,0.6027894020080566,-0.1039385199546814,0.43,7.409557025561613
36.747251121900085,-1.293540624594115,0.7576000094413757,32.202301025390625,656.0,868.0,1240.0,1516.0,2090.0,1871.5,0.1001451388001442,0.159179151058197,0.99,13.866447061803262
36.745324790244986,-1.2966709135336338,0.8826000094413757,93.96209716796876,1032.0,1247.0,1398.0,1612.5,2106.0,1851.0,0.0712506249547004,0.1327148079872131,0.89,12.665302106667186
36.74683642550211,-1.293763579646787,0.7688000202178955,25.414100646972656,791.0,949.0,907.0,2096.5,2247.0,2061.5,0.3960379660129547,0.0346494764089584,0.91,9.463685836447093
36.72346181777994,-1.296033262082991,0.8481000065803528,140.4344024658203,719.0,1043.0,1222.0,2769.0,2618.5,2130.5,0.3876221477985382,-0.0279350355267524,0.83,8.121669362404099
36.75010494657428,-1.2924570630381278,0.7911999821662903,92.13379669189452,477.5,635.0,945.0,2023.0,2110.0,1653.5,0.3632075488567352,0.0210500843822956,0.47,11.304064232906313
36.74711734886847,-1.296060016689312,0.7398999929428101,78.60169982910156,1217.0,1457.0,1530.0,2081.5,2188.5,1838.0,0.1527066379785537,0.0250585488975048,0.73,12.8830012087845
36.73971524111976,-1.2908830003662612,0.8023999929428101,389.60540771484375,688.5,973.0,1176.0,1879.0,2313.0,2178.0,0.2301145642995834,0.1035305336117744,0.89,8.543757104356166
36.74431703340691,-1.292831627526617,0.8593000173568726,88.35260009765625,820.5,1010.0,1286.0,1711.0,2044.0,1735.0,0.1418084800243377,0.0886817574501037,0.74,8.65242125623188
36.7506489569028,-1.2939330254868182,0.7678999900817871,26.89240074157715,816.5,1037.0,1272.0,1725.0,2179.5,1790.0,0.1511511504650116,0.1164041459560394,0.81,15.259633921274398
36.74543180867027,-1.2961402805082738,0.9041000008583068,164.87159729003906,1298.0,1530.0,1554.0,1858.0,2306.5,2137.5,0.0890973061323165,0.1076960042119026,0.93,15.533260268370094
36.74260473860239,-1.29214938506544,0.7221999764442444,31.634700775146484,1247.0,1379.0,1455.0,1960.0,1943.5,1600.5,0.1478770077228546,-0.004226975608617,0.39,15.719080505637269
36.73766851373623,-1.2888006001743018,0.8471999764442444,100.3469009399414,1425.0,1617.0,1672.0,2210.5,2256.0,1928.5,0.1386992931365966,0.0101869469508528,0.69,9.577750714927769
36.741605899966416,-1.298922759565624,0.9096999764442444,72.05069732666016,415.5,671.5,839.0,3048.5,2040.5,1237.0,0.5683601498603821,-0.1980742812156677,0.32,13.229599913139204
36.744508774752205,-1.2928806776382047,0.7958999872207642,32.00619888305664,1065.0,1308.0,1566.0,1762.0,2187.0,1941.0,0.0588942319154739,0.1076221838593483,0.97,14.953961524014472
36.74631916977991,-1.2961358214072205,0.7958999872207642,69.756103515625,1437.0,1642.0,1789.0,2526.0,2568.0,2650.5,0.1707995384931564,0.0082449940964579,0.85,8.291724452688372
36.76126161741,-1.2952038692870504,0.8808000087738037,180.15049743652344,677.5,837.5,1015.0,1866.0,1730.0,1456.5,0.2953835427761078,-0.0378197990357875,0.64,15.272778667178338
36.74353669072256,-1.297678670371713,0.7781999707221985,86.4822998046875,1004.5,1267.0,1480.0,2027.0,2194.0,1799.5,0.1559737622737884,0.0395640842616558,0.75,12.688898827778212
36.74482091182595,-1.2932775376319618,0.7045000195503235,9.652299880981444,713.5,792.0,863.5,1897.0,2385.5,2037.0,0.3743886947631836,0.1140688881278038,0.85,12.622380451860389
36.73944769505655,-1.290588699696734,0.8463000059127808,42.20840072631836,969.5,1238.0,1280.0,1863.0,2633.0,2273.5,0.1854915618896484,0.1712633520364761,0.93,12.174100785483164
36.73984901415136,-1.291342287774766,0.800599992275238,57.27799987792969,1212.0,1456.0,1630.0,1921.0,2425.5,2358.5,0.0819487497210502,0.1160704046487808,0.99,9.908974690130547
36.73869856607957,-1.2898797026292357,0.7828999757766724,136.0782928466797,604.5,887.0,957.5,2430.0,2154.5,1679.0,0.4346863329410553,-0.0600937940180301,0.57,15.463134873454191
36.745538827095565,-1.2964479584809614,0.8453999757766724,81.98619842529297,1081.0,1231.0,1349.0,1727.0,1963.5,1707.5,0.1228868663311004,0.064083456993103,0.81,14.97697701549863
36.7383507561974,-1.2899599664481978,0.7717000246047974,15.957300186157228,691.0,955.0,969.0,2529.0,2308.0,1893.5,0.4459691345691681,-0.0456894785165786,0.61,8.991460362962515
36.7449413075544,-1.296443499379908,0.7773000001907349,18.736799240112305,905.5,1117.0,1164.0,2149.0,2262.0,1926.0,0.2973136007785797,0.0256177745759487,0.89,11.310205010827556
36.7454585632766,-1.2964657948851752,0.7260000109672546,18.514299392700195,622.0,840.5,901.5,2308.0,1963.5,1707.5,0.4382302463054657,-0.0806508287787437,0.77,6.318700750276837
36.73740096767303,-1.288635613435324,0.8677999973297119,264.3554992675781,1183.0,1379.0,1403.0,1762.0,2028.0,1747.0,0.1134281232953071,0.0701847001910209,0.6,11.416352005510687
